,,pi,x,new_pi,new_x
Anhui,1992,8.200000000000003,14.636466607667884,-5.172625828433843,-22.85592425210628
Anhui,1993,14.700000000000005,14.136329844307651,-16.144726557992122,-17.22718395368299
Anhui,1994,26.90000000000001,2.3360285503235048,-17.632439804655053,-18.09104194373401
Anhui,1995,14.799999999999995,10.11929833703232,-16.587598587758745,-1.626677778387879
Anhui,1996,9.900000000000006,4.8675978334621846,-4.878175419678871,-2.0535008558935433
Anhui,1997,1.2999999999999972,5.256501973236865,-4.1721836089445645,2.0382511462539745
Anhui,1998,0.0,3.288102050304857,0.38258458981705545,3.5391364546285695
Anhui,1999,-2.200000000000003,1.7431162456614544,-0.3800550817431752,6.7279912060610885
Anhui,2000,0.7000000000000028,-2.773273102436334,-1.113103832724839,4.489449477950322
Anhui,2001,0.5,-3.150225234368122,-1.0822469738202047,9.324661892694094
Anhui,2002,-1.0,-5.539310970319605,0.512620389844611,7.784820158475651
Anhui,2003,1.7000000000000028,-8.149445300973596,0.2938773869281059,4.803507688209206
Anhui,2004,4.5,-5.623122452996769,-0.9706395185991735,4.890270980294299
Anhui,2005,1.4000000000000057,-7.014825304205459,-1.6944676579940992,2.3999064660113554
Anhui,2006,1.2000000000000028,-7.174695316621211,-0.8313662290726885,-0.860913115334942
Anhui,2007,5.299999999999997,-5.939914323233737,-1.9962172545271808,-4.023762685208559
Anhui,2008,6.200000000000002,-4.748193464974051,-1.7580324405102623,-2.64365659200128
Anhui,2009,-0.9000000000000057,-2.142233872743532,0.44828448691198003,-1.4101620074403802
Anhui,2010,3.0999999999999943,5.421522246557274,-0.37784765526034003,0.27373396505263115
Anhui,2011,5.599999999999994,12.652965771838653,0.004721174345251636,4.3277224445536255
Beijing,1992,9.900000000000006,45.54890405806236,5.277691944428201,34.86725299067744
Beijing,1993,19.0,27.275555924638482,9.153342123869377,17.48386655164995
Beijing,1994,24.90000000000001,12.449532793178234,8.964701170760684,6.017219295081282
Beijing,1995,17.299999999999994,9.268362726091397,5.831181573916129,4.458627515726264
Beijing,1996,11.599999999999996,1.2403138921280572,6.186654405889024,-2.3051740121272264
Beijing,1997,5.299999999999997,-2.7093051547791163,3.783879991732697,-5.2719015017424935
Beijing,1998,2.4000000000000057,-5.299015766029498,2.7964480938790772,-6.841269120979417
Beijing,1999,0.5999999999999943,-7.890239958470772,1.5748115326463257,-7.7584223179305125
Beijing,2000,3.5,-9.003908054320007,3.133538257378122,-7.3754109918669135
Beijing,2001,3.0999999999999943,-10.367497442378069,2.923245591938862,-7.340975736657639
Beijing,2002,-1.7999999999999972,-7.77076166436737,-1.4075707694758266,-3.9135766704566923
Beijing,2003,0.20000000000000284,-7.283746235553139,-0.43418776871084014,-3.173061887501373
Beijing,2004,1.0,-3.399985192214104,-1.2132618780430138,0.3404664935214646
Beijing,2005,1.5,-3.9281031825444903,0.5348056760957062,-0.25217466154742946
Beijing,2006,0.9000000000000057,-1.9506448928467532,0.22547186193461882,1.041829678588575
Beijing,2007,2.4000000000000057,3.496717533182704,-0.2100143815650616,5.43280587229884
Beijing,2008,5.099999999999994,-0.12892155416516005,2.9148104246831927,0.8643905284954101
Beijing,2009,-1.5,0.4018383465699316,-1.158429140772894,0.7796145295373946
Beijing,2010,2.4000000000000057,3.915205552207084,1.3703711390055637,2.3880754431900515
Beijing,2011,5.599999999999994,4.163018290962995,4.557221586537574,2.381749032734046
Fujian,1992,5.900000000000006,8.961570547599694,-8.715867581565755,-35.693746865651626
Fujian,1993,15.400000000000004,10.78019306343549,-14.78211593726575,-22.83014686999438
Fujian,1994,25.3,11.102148645618088,-17.762088529758966,-5.569464163402279
Fujian,1995,15.200000000000005,6.772317186393592,-15.420707564606124,-3.97861680296644
Fujian,1996,5.900000000000006,5.3269679506661864,-9.686750175220093,-1.484740895937771
Fujian,1997,1.7000000000000028,6.345622999043826,-3.362005101723299,3.6935635920993812
Fujian,1998,-0.2999999999999972,4.835406358664713,0.5760215556923797,4.527757392315128
Fujian,1999,-0.9000000000000057,2.2678600026117834,1.7425072670187265,5.954326410683556
Fujian,2000,2.0999999999999943,-1.2116510969800487,1.0954732995136731,5.325763282715555
Fujian,2001,-1.2999999999999972,-3.3055940848530554,-4.207599331956215,9.591371661892532
Fujian,2002,-0.5,-5.039188272149247,0.9087029686549973,10.103928036592292
Fujian,2003,0.7999999999999972,-6.5858974001284185,-1.3103489329880305,9.34677832460828
Fujian,2004,4.0,-7.793297099166168,-2.632033884928154,3.614940193048837
Fujian,2005,2.200000000000003,-8.727449133834924,-1.1270737261538786,1.408754675433227
Fujian,2006,0.7999999999999972,-7.068358729045954,-1.9603684271633535,-0.8992974547774462
Fujian,2007,5.200000000000003,-3.932784583607969,-4.004853715508098,-2.0517873291361255
Fujian,2008,4.599999999999994,-3.6966653299418373,-9.697826921037503,-1.0861601016125566
Fujian,2009,-1.7999999999999972,-0.04208520775068792,-0.6943397994050065,4.881713399021799
Fujian,2010,3.200000000000003,5.908924028347684,-6.376999355035831,-4.562093567882694
Fujian,2011,5.299999999999997,9.633301115875213,-10.174958999426261,-14.368113764384159
Gansu,1992,7.200000000000002,26.469859558885066,1.243440904249306,11.626384091909046
Gansu,1993,15.400000000000004,15.166266188881151,3.194256221067406,1.8334863970053694
Gansu,1994,23.700000000000006,2.670914376096817,5.0722530409484605,-5.688984112499233
Gansu,1995,19.8,-4.2597054895749125,7.025419698554192,-10.688028348476857
Gansu,1996,10.200000000000003,2.287207074622557,3.750278058449956,-1.5371681692863755
