Year;Province;Pop;UnempRate;GDP;CPI;RailToBeijing;RailToTianjin;RailToHebei;RailToShanxi;RailToInnerMongolia;RailToLiaoning;RailToJilin;RailToHeilongjiang;RailToShanghai;RailToJiangsu;RailToZhejiang;RailToAnhui;RailToFujian;RailToJiangxi;RailToShandong;RailToHenan;RailToHubei;RailToHunan;RailToGuangdong;RailToGuangxi;RailToHainan;RailToChongqing;RailToSichuan;RailToGuizhou;RailToYunnan;RailToTibet;RailToShaanxi;RailToGansu;RailToQinghai;RailToNingxia;RailToXinjiang;Rail_Total
1992;Gansu;23.14;3.5;317.8;107.2;21;51;29;16;47;52;15;16;17;73;25;12;22;7;33;72;44;29;59;7;0;0;132;7;13;0;117;1401;154;91;83;2645
1992;Qinghai;4.61;3.5;87.5;108.0;5;13;7;13;4;10;4;4;5;15;6;8;4;2;12;40;13;9;10;8;0;0;21;1;2;0;29;109;156;5;4;519
1992;Ningxia;4.82;4.2;83.1;108.3;24;88;21;3;62;78;5;7;1;9;5;2;2;1;7;7;4;4;11;1;0;0;20;2;3;0;78;440;30;524;6;1445
1992;Xinjiang;15.81;2.8;402.3;108.6;15;36;25;17;22;20;7;10;11;26;11;5;5;3;10;78;13;18;34;4;0;0;60;1;6;0;57;601;38;26;616;1775
1993;Beijing;11.12;0.4;886.2;119.0;1001;310;603;99;53;112;34;60;30;72;33;13;17;18;127;96;51;40;95;15;0;0;56;8;14;0;48;20;4;7;15;3051
1993;Tianjin;8.86;1.0;538.9;117.6;125;477;325;144;72;85;32;44;19;70;27;16;27;8;53;73;32;20;78;10;0;0;28;5;11;0;41;25;7;17;23;1894
1993;Hebei;63.34;2.0;1690.8;113.8;1489;1971;4345;389;239;690;112;151;68;220;81;46;78;132;334;239;202;78;229;97;0;0;115;14;24;0;50;36;10;20;18;11477
1993;Shanxi;30.13;0.8;680.4;115.1;1706;2453;8527;2590;273;1624;245;74;142;1538;255;362;140;1134;2500;721;917;292;173;142;0;0;89;6;6;0;209;32;36;25;7;26218
1993;InnerMongolia;22.32;2.6;537.8;114.1;134;459;859;156;3117;799;346;1008;15;55;28;14;13;7;147;65;31;19;39;15;0;0;35;4;4;0;24;34;17;76;7;7527
1993;Liaoning;39.83;2.5;2010.8;115.2;249;352;541;170;423;9642;1021;1049;45;110;65;31;34;18;168;147;75;73;116;30;0;0;132;17;17;0;50;50;20;17;28;14690
1993;Jilin;24.96;1.3;718.6;112.6;137;97;289;55;135;1528;3248;587;39;66;42;12;36;8;181;61;35;27;104;28;0;0;69;7;10;0;16;11;2;3;10;6843
1993;Heilongjiang;36.40;2.2;1198.4;114.8;185;144;447;130;277;2242;1862;6974;37;97;42;21;28;10;279;92;31;29;92;17;0;0;27;7;8;0;25;16;3;17;8;13147
1993;Shanghai;12.95;2.5;1519.2;120.2;52;26;37;24;14;51;37;41;107;65;163;69;100;98;81;69;51;47;67;33;0;0;58;17;31;0;52;18;6;4;17;1435
1993;Jiangsu;69.67;2.0;2998.2;118.2;50;37;57;69;28;101;46;56;416;1748;215;286;106;73;245;255;52;49;106;40;0;0;76;15;28;0;82;47;15;7;38;4343
1993;Zhejiang;43.13;2.6;1925.9;119.8;23;18;34;14;12;43;17;34;493;55;732;24;49;103;60;20;17;55;47;23;0;0;37;10;18;0;16;12;3;3;15;1987
1993;Anhui;58.70;2.7;1037.1;114.7;27;14;27;24;11;37;21;27;276;836;301;2431;178;103;81;37;21;21;41;29;0;0;23;6;7;0;26;8;3;1;7;4624
1993;Fujian;31.50;1.5;1114.2;115.4;37;17;38;18;10;41;21;30;85;145;163;68;1080;123;61;32;28;102;8;12;0;0;26;9;15;0;17;13;5;2;11;2217
1993;Jiangxi;39.66;1.9;723.0;114.6;8;5;21;6;3;14;5;6;152;80;396;59;213;1259;38;18;33;80;147;64;0;0;31;16;15;0;10;6;1;1;3;2690
1993;Shandong;86.42;2.5;2770.4;112.7;258;167;421;228;85;160;119;178;257;673;370;304;87;142;4397;249;98;94;111;59;0;0;42;10;19;0;60;38;25;12;19;8682
1993;Henan;89.46;2.4;1660.2;110.4;144;106;143;113;46;170;49;55;122;790;171;195;51;197;218;2570;2388;410;413;276;0;0;173;24;29;0;138;59;16;10;29;9105
1993;Hubei;56.53;2.2;1325.8;118.4;36;28;125;104;15;54;21;41;16;60;43;37;67;66;96;388;1547;171;351;202;0;0;293;64;94;0;70;23;4;4;18;4038
1993;Hunan;62.46;3.4;1244.7;116.8;35;28;79;44;12;47;18;18;28;43;79;16;54;69;53;145;250;2086;1228;370;0;0;83;61;55;0;36;19;4;3;11;4974
1993;Guangdong;69.37;1.9;3469.3;121.6;100;47;108;40;28;151;56;87;75;105;112;21;19;35;112;129;173;448;1396;230;0;0;401;184;223;0;91;24;7;6;28;4436
1993;Guangxi;44.38;2.9;871.7;122.0;25;24;69;27;14;45;15;24;46;55;68;31;11;33;44;82;68;138;429;945;0;0;163;54;35;0;17;9;2;2;8;2483
1993;Hainan;7.01;2.4;260.4;123.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;390;0;0;0;0;0;0;0;0;0;0;390
