,,pi_current,pi_next_exp,pi_previous,x_current,new_pi_current,new_pi_next_exp,new_pi_previous,new_x_current
Anhui,1993,14.700000000000005,8.2,8.200000000000003,14.136329844307651,-16.144726557992122,-5.61361375811573,-5.613613758115733,-17.22718395368299
Anhui,1994,26.90000000000001,14.7,14.700000000000005,2.3360285503235048,-17.632439804655053,-17.25315981868076,-17.253159818680754,-18.09104194373401
Anhui,1995,14.799999999999995,27.7,26.90000000000001,10.11929833703232,-16.587598587758745,-38.737956343237,-16.910097952044516,-1.626677778387879
Anhui,1996,9.900000000000006,51.3,14.799999999999995,4.8675978334621846,-4.878175419678871,-14.487393439013186,-15.042178455820263,-2.0535008558935433
Anhui,1997,1.2999999999999972,-9.4,9.900000000000006,5.256501973236865,-4.1721836089445645,-15.138457854882606,-5.355987264560519,2.0382511462539745
Anhui,1998,0.0,0.1,1.2999999999999972,3.288102050304857,0.38258458981705545,14.935081306190616,-4.179655515664305,3.5391364546285695
Anhui,1999,-2.200000000000003,-15.9,0.0,1.7431162456614544,-0.3800550817431752,-2.7330045317528406,0.21014321713115858,6.7279912060610885
Anhui,2000,0.7000000000000028,-2.6,-2.200000000000003,-2.773273102436334,-1.113103832724839,8.971778054141952,-0.3718464539234402,4.489449477950322
Anhui,2001,0.5,-6.6,0.7000000000000028,-3.150225234368122,-1.0822469738202047,-1.3092731110031242,-1.3566476479847454,9.324661892694094
Anhui,2002,-1.0,6.5,0.5,-5.539310970319605,0.512620389844611,-3.3402068999322,-0.8855667752271326,7.784820158475651
Anhui,2003,1.7000000000000028,0.1,-1.0,-8.149445300973596,0.2938773869281059,0.6112337275694317,0.4327473339778456,4.803507688209206
Anhui,2004,4.5,-4.0,1.7000000000000028,-5.623122452996769,-0.9706395185991735,2.8572752683660214,0.259036533274542,4.890270980294299
Anhui,2005,1.4000000000000057,7.1,4.5,-7.014825304205459,-1.6944676579940992,-0.15290523283064605,-0.864746682051225,2.3999064660113554
Anhui,2006,1.2000000000000028,10.1,1.4000000000000057,-7.174695316621211,-0.8313662290726885,-2.9220303198137585,-1.639976523227019,-0.860913115334942
Anhui,2007,5.299999999999997,-4.8,1.2000000000000028,-5.939914323233737,-1.9962172545271808,-3.4164645263405946,-0.805584789574791,-4.023762685208559
Anhui,2008,6.200000000000002,0.8,5.299999999999997,-4.748193464974051,-1.7580324405102623,1.1194748036058544,-1.2124290705189364,-2.64365659200128
Anhui,2009,-0.9000000000000057,13.5,6.200000000000002,-2.142233872743532,0.44828448691198003,1.5664855537397313,0.40671658325728866,-1.4101620074403802
Anhui,2010,3.0999999999999943,8.0,-0.9000000000000057,5.421522246557274,-0.37784765526034003,-0.3529295148478572,0.5147578787928025,0.27373396505263115
Beijing,1993,19.0,9.9,9.900000000000006,27.275555924638482,9.153342123869377,5.384784934360654,5.38478493436066,17.48386655164995
Beijing,1994,24.90000000000001,19.0,19.0,12.449532793178234,8.964701170760684,8.551021926050696,8.551021926050696,6.017219295081282
Beijing,1995,17.299999999999994,37.2,24.90000000000001,9.268362726091397,5.831181573916129,14.036229520080314,7.942898592081939,4.458627515726264
Beijing,1996,11.599999999999996,36.7,17.299999999999994,1.2403138921280572,6.186654405889024,8.297398786429312,6.054369786083171,-2.3051740121272264
Beijing,1997,5.299999999999997,2.1,11.599999999999996,-2.7093051547791163,3.783879991732697,1.9881318136204722,6.467982193945386,-5.2719015017424935
Beijing,1998,2.4000000000000057,0.2,5.299999999999997,-5.299015766029498,2.7964480938790772,6.156618603310751,3.780601861186439,-6.841269120979417
Beijing,1999,0.5999999999999943,-7.3,2.4000000000000057,-7.890239958470772,1.5748115326463257,-1.5372795303484685,2.7917370309916514,-7.7584223179305125
Beijing,2000,3.5,-3.4,0.5999999999999943,-9.003908054320007,3.133538257378122,0.52297967388003,1.5626946627291944,-7.3754109918669135
Beijing,2001,3.0999999999999943,-3.0,3.5,-10.367497442378069,2.923245591938862,-0.9381502214980935,3.166024168550191,-7.340975736657639
Beijing,2002,-1.7999999999999972,9.3,3.0999999999999943,-7.77076166436737,-1.4075707694758266,6.477054132019949,2.948364933002202,-3.9135766704566923
Beijing,2003,0.20000000000000284,2.3,-1.7999999999999972,-7.283746235553139,-0.43418776871084014,2.6589547691529303,-1.4411260010817235,-3.173061887501373
Beijing,2004,1.0,-11.6,0.20000000000000284,-3.399985192214104,-1.2132618780430138,-10.091042621765492,-0.49543746455759,0.3404664935214646
Beijing,2005,1.5,4.2,1.0,-3.9281031825444903,0.5348056760957062,1.2287795860396113,-1.2580262483747913,-0.25217466154742946
Beijing,2006,0.9000000000000057,2.6,1.5,-1.9506448928467532,0.22547186193461882,-2.591491628697173,0.5634098923440962,1.041829678588575
Beijing,2007,2.4000000000000057,2.5,0.9000000000000057,3.496717533182704,-0.2100143815650616,4.0148602516506156,0.26585597689153634,5.43280587229884
Beijing,2008,5.099999999999994,-0.3,2.4000000000000057,-0.12892155416516005,2.9148104246831927,-0.4213068683782307,0.5112830223953643,0.8643905284954101
Beijing,2009,-1.5,5.4,5.099999999999994,0.4018383465699316,-1.158429140772894,1.0722593407219523,3.189530867601844,0.7796145295373946
Beijing,2010,2.4000000000000057,10.5,-1.5,3.915205552207084,1.3703711390055637,8.248852838850812,-1.182889410840749,2.3880754431900515
Fujian,1993,15.400000000000004,5.9,5.900000000000006,10.78019306343549,-14.78211593726575,-8.209687726938197,-8.209687726938194,-22.83014686999438
Fujian,1994,25.3,15.4,15.400000000000004,11.102148645618088,-17.762088529758966,-14.797699154102904,-14.797699154102899,-5.569464163402279
