Year,Province,Pop,UnempRate,GDP,CPI
2011,Jilin,27.27,3.70,1056.90,105.20
2011,Heilongjiang,38.34,4.10,1258.20,105.80
2011,Shanghai,14.19,3.50,1919.60,105.20
2011,Jiangsu,78.99,3.20,4911.00,105.30
2011,Zhejiang,47.81,3.10,3231.90,105.40
2011,Anhui,68.76,3.70,1530.10,105.60
2011,Fujian,37.20,3.70,1756.00,105.30
2011,Jiangxi,44.88,3.00,1158.40,105.20
2011,Shandong,96.37,3.40,4536.20,105.00
2011,Henan,104.89,3.40,2693.10,105.60
2011,Hubei,61.79,4.10,1959.40,105.80
2011,Hunan,71.36,4.20,1967.00,105.50
2011,Guangdong,105.05,2.50,5321.00,105.30
2011,Guangxi,43.83,3.50,1171.40,105.90
2011,Hainan,8.77,1.70,251.50,106.10
2011,Chongqing,33.30,3.50,1001.10,105.30
2011,Sichuan,80.50,4.20,2102.70,105.30
2011,Guizhou,34.69,3.60,570.20,105.10
2011,Yunnan,46.31,4.10,875.10,104.90
2011,Tibet,3.03,3.20,60.60,105.00
2011,Shaanxi,37.43,3.60,1239.10,105.70
2011,Gansu,25.64,3.10,502.00,105.90
2011,Qinghai,5.68,3.80,163.50,106.10
2011,Ningxia,6.39,4.40,206.10,106.30
2011,Xinjiang,22.09,3.20,657.50,105.90
